,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
298,6.2679,21.2247,71.13,93.0,100.0,3.47,ippy,cf
300,-35.3333,-72.4167,59.85,75.0,2.0,12.57,constitucion,mx
305,-5.5183,-47.4611,77.23,92.0,52.0,2.59,sitio novo do tocantins,br
307,18.2833,-70.3333,84.29,62.0,20.0,13.8,bani,do
309,73.5069,80.5464,16.95,90.0,100.0,12.33,dikson,ru
311,-9.0763,143.2092,75.0,95.0,100.0,8.39,daru,pg
312,-3.6667,152.4333,81.9,75.0,89.0,1.61,namatanai,pg
313,38.421,-121.4238,58.41,72.0,90.0,12.66,laguna,br
316,-10.1256,-36.1756,77.86,83.0,16.0,6.89,coruripe,br
317,39.1855,27.6094,52.79,76.0,75.0,10.36,soma,tr
318,-5.5569,-80.8222,78.62,59.0,54.0,16.49,sechura,pe
320,65.282,-126.8329,37.4,41.0,20.0,17.27,norman wells,ca
323,49.1334,-102.9842,41.77,75.0,90.0,11.5,estevan,ca
325,42.2506,-75.833,50.95,58.0,75.0,14.97,broome,au
329,-33.1307,-64.3499,64.76,42.0,0.0,9.22,rio cuarto,ar
332,-14.9003,50.2788,72.27,89.0,92.0,5.48,antalaha,mg
333,27.0377,14.4283,72.93,22.0,0.0,9.08,sabha,ly
337,-26.9566,24.7284,60.44,30.0,44.0,5.55,vryburg,za
338,-20.5667,164.2833,76.95,76.0,82.0,15.03,koumac,nc
339,53.45,108.9833,31.23,91.0,100.0,3.71,ust-barguzin,ru
340,64.8945,-23.7142,41.0,88.0,23.0,14.7,olafsvik,is
343,60.1432,-45.2371,41.14,80.0,100.0,15.26,nanortalik,gl
344,72.7868,-56.1549,35.31,81.0,23.0,4.63,upernavik,gl
345,-21.05,31.6667,64.87,37.0,0.0,1.23,chiredzi,zw
347,-16.9833,-65.1333,67.33,98.0,97.0,2.1,chimore,bo
348,47.3845,19.2214,48.02,46.0,0.0,6.91,gyal,hu
349,19.8167,84.8,78.82,69.0,5.0,0.78,buguda,in
350,24.2167,-98.4667,91.81,30.0,13.0,18.45,santander jimenez,mx
354,-10.7073,22.2247,64.63,91.0,86.0,2.89,luau,ao
356,71.9667,102.5,3.29,92.0,83.0,12.03,khatanga,ru
357,-2.65,10.0,78.21,87.0,78.0,2.37,gamba,ga
359,-21.15,149.2,69.49,78.0,90.0,10.36,mackay,au
360,57.6198,63.0784,41.43,72.0,51.0,8.99,lesnoy,ru
365,-30.1811,-50.2056,68.02,70.0,83.0,12.59,cidreira,br
366,10.5669,72.642,83.71,72.0,2.0,6.73,kavaratti,in
367,40.7167,23.7,52.27,82.0,44.0,1.01,asprovalta,gr
368,41.7711,34.8709,42.66,88.0,93.0,2.46,sinop,tr
371,13.2167,-59.5167,82.4,54.0,20.0,17.27,bathsheba,bb
374,45.1219,-95.0433,40.15,75.0,1.0,23.02,willmar,us
378,-32.5833,151.7833,50.72,100.0,40.0,6.91,clarence town,bs
379,-29.6643,17.8865,58.66,54.0,94.0,3.24,springbok,za
384,10.9995,122.6711,76.03,85.0,29.0,3.24,dingle,ie
388,47.9714,80.4392,36.88,49.0,100.0,4.59,ayagoz,kz
393,-5.1989,-35.4608,80.6,78.0,20.0,8.05,touros,br
394,37.1041,-113.5841,80.74,11.0,1.0,33.38,saint george,bm
396,-34.1833,150.6,48.33,94.0,2.0,1.99,picton,ca
397,35.9911,-106.0806,73.67,8.0,1.0,16.11,espanola,ca
398,39.1834,-84.5333,62.83,36.0,20.0,9.22,hamilton,bm
400,-15.1961,12.1522,77.88,65.0,1.0,8.79,namibe,ao
401,-19.0595,-169.9187,82.4,83.0,45.0,4.61,alofi,nu
417,18.0858,-15.9785,68.0,77.0,0.0,18.41,nouakchott,mr
424,66.4167,112.4,6.8,91.0,100.0,24.49,udachnyy,ru
425,40.4272,71.7189,60.8,48.0,0.0,6.91,komsomolskiy,ru
426,-14.8333,-64.9,73.4,78.0,75.0,11.5,trinidad,us
429,60.34,102.2797,31.69,92.0,80.0,8.66,vanavara,ru
431,50.6789,156.125,32.45,96.0,100.0,11.03,severo-kurilsk,ru
432,-31.4333,152.9167,55.0,91.0,9.0,1.99,port macquarie,au
433,-0.8833,131.25,77.4,88.0,68.0,7.25,sorong,id
435,32.3502,-85.1999,76.24,41.0,1.0,11.5,russell,nz
436,43.2686,-7.5406,53.01,100.0,100.0,1.01,bereda,so
438,29.6994,-91.2068,77.67,53.0,1.0,3.44,morgan city,us
440,-15.2261,-59.3353,69.22,97.0,100.0,3.89,pontes e lacerda,br
441,30.2947,-81.3931,80.67,44.0,1.0,13.8,jacksonville beach,us
443,41.5284,-87.4237,39.58,60.0,1.0,13.8,griffith,au
444,48.9909,29.8047,41.61,95.0,98.0,9.71,monastyryshche,ua
450,63.4427,-20.2734,44.31,81.0,0.0,16.53,vestmannaeyjar,is
451,-9.1667,-60.6333,75.79,94.0,96.0,1.83,aripuana,br
455,6.7085,121.9711,75.2,94.0,20.0,2.3,isabela,us
459,35.7333,140.8333,46.22,46.0,20.0,13.8,hasaki,jp
461,30.4833,-115.95,63.73,62.0,55.0,17.27,san quintin,mx
463,3.7833,72.9667,82.54,75.0,7.0,6.11,mahibadhoo,mv
470,63.7506,-68.5145,33.39,86.0,90.0,4.61,iqaluit,ca
471,28.0333,79.4,78.91,13.0,0.0,7.45,dataganj,in
473,2.5345,34.6666,66.36,85.0,100.0,3.18,moroto,ug
476,69.3833,178.4167,24.55,85.0,100.0,1.36,leningradskiy,ru
480,55.7435,-97.8558,35.6,64.0,90.0,24.16,thompson,ca
483,40.8106,111.6522,48.2,93.0,20.0,4.47,hohhot,cn
484,39.0197,31.15,51.26,86.0,92.0,3.8,emirdag,tr
486,34.4133,-119.861,60.1,63.0,1.0,14.97,isla vista,us
487,32.6881,128.8419,58.95,58.0,77.0,29.06,fukue,jp
488,-16.0999,167.4164,82.65,74.0,98.0,2.06,lakatoro,vu
491,64.1835,-51.7216,42.8,75.0,75.0,0.89,nuuk,gl
495,49.7834,-74.8492,42.8,93.0,90.0,11.5,chapais,ca
497,48.0861,18.1845,42.01,51.0,39.0,5.41,surany,sk
500,64.2539,-15.2082,43.36,88.0,100.0,10.27,hofn,is
501,18.217,-63.0578,79.83,69.0,75.0,11.5,the valley,ai
502,-13.7,-76.2167,67.44,88.0,20.0,11.5,pisco,pe
506,46.0167,20.95,50.86,76.0,98.0,8.05,varias,ro
507,57.4391,42.1289,32.95,97.0,100.0,17.09,kineshma,ru
508,51.3223,42.7678,39.0,58.0,8.0,8.52,kamenka,ru
510,41.8007,-73.1212,53.67,78.0,100.0,1.99,torrington,us
511,42.1584,-72.3287,53.58,62.0,90.0,8.05,palmer,us
516,-26.6167,-54.1333,58.6,87.0,57.0,2.77,san vicente,ph
517,18.0264,-77.8487,83.44,74.0,40.0,12.66,black river,jm
523,-3.8004,102.2655,75.27,89.0,72.0,4.56,bengkulu,id
526,-45.8742,170.5036,51.01,38.0,60.0,15.01,dunedin,nz
528,5.8933,95.3214,82.51,71.0,97.0,12.55,sabang,id
529,-10.6167,150.6667,83.62,75.0,89.0,12.15,samarai,pg
533,68.75,161.3,13.26,88.0,98.0,5.19,cherskiy,ru
534,-7.2906,-37.0939,74.43,77.0,87.0,10.36,desterro,br
535,-19.9309,-60.7718,69.78,70.0,99.0,5.73,mayor pablo lagerenza,py
544,-19.55,169.2667,76.48,87.0,100.0,13.87,isangel,vu
547,-20.9373,55.2919,67.71,83.0,75.0,18.41,le port,re
548,45.4375,40.5756,48.0,82.0,100.0,10.8,kropotkin,ru
